n_e20_avg[1/m^3],T_e_avg[keV],I_ST[kg],TBR,TBR_DDn,Cost_per_kWh[USD/MWh],Tdot_fusion[T/s],Tdot_breedingDT[T/s],Tdot_breedingDD[T/s],Tdot_diff[T/s],Tdot_tot[T/s],startup_time[hour],Pf_DD[MW],Pf_DD_DT[MW],Pf_DD_DHe3[MW],Pf_DD_tot[MW],Pf_DT[MW],P_e_net_DD[MW],Q_DD,P_e_net_DT[MW],Q_DT,E_lost[MJ],Dollar_lost[USD]
1.000000000000000000e+00,1.400000000000000000e+01,1.000000000000000056e-01,5.000000000000000000e-01,7.500000000000000000e-01,1.499999999999999944e-01,8.849334667016898560e+17,1.064328188792336800e+16,7.213811359966796800e+17,8.850219688985795840e+17,1.616957884586292736e+18,3.468513883216138765e+03,1.118325437051273408e+00,6.002450977566991391e-02,2.477030083115805870e-04,1.178597649835255057e+00,2.543602656341173827e+02,-9.966450236888461234e+01,-9.888167456294872926e-01,-2.369192030976478591e+01,1.543602656341173773e+00,9.486430402170041800e+08,3.952679334237517416e+07
1.000000000000000000e+00,1.400000000000000000e+01,1.000000000000000056e-01,5.000000000000000000e-01,7.500000000000000000e-01,2.374999999999999889e-01,8.849334667016898560e+17,1.064328188792336800e+16,7.213811359966796800e+17,8.850219688985795840e+17,1.616957884586292736e+18,3.468513883216138765e+03,1.118325437051273408e+00,6.002450977566991391e-02,2.477030083115805870e-04,1.178597649835255057e+00,2.543602656341173827e+02,-9.966450236888461234e+01,-9.888167456294872926e-01,-2.369192030976478591e+01,1.543602656341173773e+00,9.486430402170041800e+08,6.258408945876069367e+07
1.000000000000000000e+00,1.400000000000000000e+01,1.000000000000000056e-01,5.000000000000000000e-01,7.500000000000000000e-01,3.249999999999999556e-01,8.849334667016898560e+17,1.064328188792336800e+16,7.213811359966796800e+17,8.850219688985795840e+17,1.616957884586292736e+18,3.468513883216138765e+03,1.118325437051273408e+00,6.002450977566991391e-02,2.477030083115805870e-04,1.178597649835255057e+00,2.543602656341173827e+02,-9.966450236888461234e+01,-9.888167456294872926e-01,-2.369192030976478591e+01,1.543602656341173773e+00,9.486430402170041800e+08,8.564138557514619827e+07
1.000000000000000000e+00,1.400000000000000000e+01,1.000000000000000056e-01,5.000000000000000000e-01,7.500000000000000000e-01,4.124999999999999778e-01,8.849334667016898560e+17,1.064328188792336800e+16,7.213811359966796800e+17,8.850219688985795840e+17,1.616957884586292736e+18,3.468513883216138765e+03,1.118325437051273408e+00,6.002450977566991391e-02,2.477030083115805870e-04,1.178597649835255057e+00,2.543602656341173827e+02,-9.966450236888461234e+01,-9.888167456294872926e-01,-2.369192030976478591e+01,1.543602656341173773e+00,9.486430402170041800e+08,1.086986816915317178e+08
1.000000000000000000e+00,1.400000000000000000e+01,1.000000000000000056e-01,5.000000000000000000e-01,7.500000000000000000e-01,5.000000000000000000e-01,8.849334667016898560e+17,1.064328188792336800e+16,7.213811359966796800e+17,8.850219688985795840e+17,1.616957884586292736e+18,3.468513883216138765e+03,1.118325437051273408e+00,6.002450977566991391e-02,2.477030083115805870e-04,1.178597649835255057e+00,2.543602656341173827e+02,-9.966450236888461234e+01,-9.888167456294872926e-01,-2.369192030976478591e+01,1.543602656341173773e+00,9.486430402170041800e+08,1.317559778079172522e+08
1.000000000000000000e+00,1.400000000000000000e+01,1.000000000000000056e-01,5.000000000000000000e-01,8.750000000000000000e-01,1.499999999999999944e-01,8.849334667016898560e+17,1.064328188792336800e+16,8.416113253294595840e+17,8.850219688985795840e+17,1.737188073919072768e+18,3.225956191816072078e+03,1.118325437051273408e+00,6.002450977566991391e-02,2.477030083115805870e-04,1.178597649835255057e+00,2.543602656341173827e+02,-9.966450236888461234e+01,-9.888167456294872926e-01,-2.369192030976478591e+01,1.543602656341173773e+00,8.823031974067401886e+08,3.676263322528084368e+07
1.000000000000000000e+00,1.400000000000000000e+01,1.000000000000000056e-01,5.000000000000000000e-01,8.750000000000000000e-01,2.374999999999999889e-01,8.849334667016898560e+17,1.064328188792336800e+16,8.416113253294595840e+17,8.850219688985795840e+17,1.737188073919072768e+18,3.225956191816072078e+03,1.118325437051273408e+00,6.002450977566991391e-02,2.477030083115805870e-04,1.178597649835255057e+00,2.543602656341173827e+02,-9.966450236888461234e+01,-9.888167456294872926e-01,-2.369192030976478591e+01,1.543602656341173773e+00,8.823031974067401886e+08,5.820750260669466853e+07
1.000000000000000000e+00,1.400000000000000000e+01,1.000000000000000056e-01,5.000000000000000000e-01,8.750000000000000000e-01,3.249999999999999556e-01,8.849334667016898560e+17,1.064328188792336800e+16,8.416113253294595840e+17,8.850219688985795840e+17,1.737188073919072768e+18,3.225956191816072078e+03,1.118325437051273408e+00,6.002450977566991391e-02,2.477030083115805870e-04,1.178597649835255057e+00,2.543602656341173827e+02,-9.966450236888461234e+01,-9.888167456294872926e-01,-2.369192030976478591e+01,1.543602656341173773e+00,8.823031974067401886e+08,7.965237198810847104e+07
1.000000000000000000e+00,1.400000000000000000e+01,1.000000000000000056e-01,5.000000000000000000e-01,8.750000000000000000e-01,4.124999999999999778e-01,8.849334667016898560e+17,1.064328188792336800e+16,8.416113253294595840e+17,8.850219688985795840e+17,1.737188073919072768e+18,3.225956191816072078e+03,1.118325437051273408e+00,6.002450977566991391e-02,2.477030083115805870e-04,1.178597649835255057e+00,2.543602656341173827e+02,-9.966450236888461234e+01,-9.888167456294872926e-01,-2.369192030976478591e+01,1.543602656341173773e+00,8.823031974067401886e+08,1.010972413695223033e+08
1.000000000000000000e+00,1.400000000000000000e+01,1.000000000000000056e-01,5.000000000000000000e-01,8.750000000000000000e-01,5.000000000000000000e-01,8.849334667016898560e+17,1.064328188792336800e+16,8.416113253294595840e+17,8.850219688985795840e+17,1.737188073919072768e+18,3.225956191816072078e+03,1.118325437051273408e+00,6.002450977566991391e-02,2.477030083115805870e-04,1.178597649835255057e+00,2.543602656341173827e+02,-9.966450236888461234e+01,-9.888167456294872926e-01,-2.369192030976478591e+01,1.543602656341173773e+00,8.823031974067401886e+08,1.225421107509361356e+08
